"method","repetitions","mean_reference_truth_h2","mean_h2","h2_bias","h2_rmse","interval_coverage","mean_effect_correlation","mean_score_correlation","mean_score_calibration","max_rhat","min_ess_bulk","mean_elapsed_seconds","pass_h2_bias","pass_h2_rmse","pass_coverage","pass_effect_correlation","pass_score_correlation","pass_rhat","pass_ess","passed"
"BayesC",5,0.294256050829386,0.304853641927977,0.0105975910985908,0.0234614579734812,1,0.926636423759725,0.940785715290631,0.950383386555022,1.00367441152276,1240.11734838364,1.108,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"BayesR",5,0.311943371099649,0.297101405607278,-0.0148419654923706,0.0205906933972276,1,0.943118771458338,0.951288590240156,0.991531537035553,1.00472141686457,1182.24887350493,20.058,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
