"analysis","component","quantity","estimate","se","z","p","undefined_reason","uncertainty_reason","lower","upper","interval_level","p_mc_se","method","reference","region","scope","trait1","trait2","diagnostic_id","native_quantity","name","scale","se_method","p_method","interval_method","se_available","p_available","interval_available","estimate_status","out_of_range","row_id"
"hess_cov","region","cov",0.00157554971146141,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region013","region","B","C","fit_53","cov","region013","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,211
"hess_cov","region","cov",0.00657111819569938,0.00429866318720495,1.52864225679705,0.126353154312313,"","",NA,NA,NA,NA,"hess","simulated-training-pool","region014","region","B","C","fit_54","cov","region014","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,215
"hess_cov","region","cov",0.00516763361150765,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region015","region","B","C","fit_55","cov","region015","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,219
"hess_cov","region","cov",0.00163753290070206,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region016","region","B","C","fit_56","cov","region016","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,223
"hess_cov","region","cov",0.00368335200854968,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region017","region","B","C","fit_57","cov","region017","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,227
"hess_cov","region","cov",0.0015106100207876,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region018","region","B","C","fit_58","cov","region018","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,231
"hess_cov","region","cov",0.00310464390679718,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region019","region","B","C","fit_59","cov","region019","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,235
"hess_cov","region","cov",0.00227187415441503,0.00360082837648813,0.630930973897394,0.528085658383258,"","",NA,NA,NA,NA,"hess","simulated-training-pool","region020","region","B","C","fit_60","cov","region020","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,239
"supergnova_cov","region","cov",0.0615999278170833,0.0119119412155881,5.17127533642232,2.32501687589419e-07,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region001","region","A","B","fit_1","cov","region001","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,1
"supergnova_cov","region","cov",0.000938586000473393,0.00726485655373267,0.129195393402661,0.897203041195018,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region002","region","A","B","fit_2","cov","region002","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,2
"supergnova_cov","region","cov",7.2623852405413e-05,0.00311444360439994,0.0233184034229464,0.981396291896189,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region003","region","A","B","fit_3","cov","region003","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,3
"supergnova_cov","region","cov",0.00214525805736371,0.00259853084555313,0.825565746519765,0.409050472627463,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region004","region","A","B","fit_4","cov","region004","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,4
"supergnova_cov","region","cov",-0.00684585546570444,0.00310080544639285,-2.207766847697,0.0272605302030178,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region005","region","A","B","fit_5","cov","region005","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,5
"supergnova_cov","region","cov",0.000527649265611215,0.00315740374981374,0.167114917008109,0.86727962899105,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region006","region","A","B","fit_6","cov","region006","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,6
"supergnova_cov","region","cov",0.00175737416626448,0.00392994440031965,0.447175325463011,0.654748475530373,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region007","region","A","B","fit_7","cov","region007","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,7
"supergnova_cov","region","cov",0.00426097894023943,0.00376381632760246,1.1320900302682,0.257596585905544,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region008","region","A","B","fit_8","cov","region008","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,8
"supergnova_cov","region","cov",-0.00455392311300334,0.00257839277449359,-1.76618673386476,0.0773645259450487,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region009","region","A","B","fit_9","cov","region009","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,9
"supergnova_cov","region","cov",-0.00119312160802888,0.00316363493899873,-0.3771363102996,0.706072308363556,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region010","region","A","B","fit_10","cov","region010","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,10
"supergnova_cov","region","cov",0.00108180639930101,0.00383251598867702,0.282270550859319,0.77773606481498,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region011","region","A","B","fit_11","cov","region011","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,11
"supergnova_cov","region","cov",-0.000331447587342184,0.00310363408603528,-0.106793384192268,0.914952896109821,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region012","region","A","B","fit_12","cov","region012","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,12
"supergnova_cov","region","cov",-0.000981328182019551,0.00405829914484827,-0.241807749255074,0.808929134040504,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region013","region","A","B","fit_13","cov","region013","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,13
"supergnova_cov","region","cov",8.2518776143488e-05,0.00414416276891886,0.0199120499711974,0.984113532564524,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region014","region","A","B","fit_14","cov","region014","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,14
"supergnova_cov","region","cov",-0.000314508316827768,0.00295888042207203,-0.106293013560692,0.915349874559941,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region015","region","A","B","fit_15","cov","region015","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,15
"supergnova_cov","region","cov",0.000192165391683318,0.00368062730072376,0.0522099566140615,0.958361399524653,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region016","region","A","B","fit_16","cov","region016","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,16
"supergnova_cov","region","cov",-0.00401788370829027,0.00263003623306224,-1.52769138986808,0.126589178880705,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region017","region","A","B","fit_17","cov","region017","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,17
"supergnova_cov","region","cov",0.00119286093747848,0.00311151869744798,0.383369361867195,0.701445916893676,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region018","region","A","B","fit_18","cov","region018","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,18
"supergnova_cov","region","cov",0.0002367610875634,0.00384715706918069,0.0615418303193485,0.95092770174289,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region019","region","A","B","fit_19","cov","region019","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,19
"supergnova_cov","region","cov",0.00372186970788107,0.00370318536301941,1.00504547923748,0.314874951118563,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region020","region","A","B","fit_20","cov","region020","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,20
"supergnova_cov","region","cov",0.0413407270655458,0.00985651248131177,4.19425503127288,2.73769831790895e-05,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region001","region","A","C","fit_21","cov","region001","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,21
"supergnova_cov","region","cov",-0.00412500110983216,0.00872360237528419,-0.472855241719769,0.636316459173533,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region002","region","A","C","fit_22","cov","region002","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,22
"supergnova_cov","region","cov",0.00728707588255076,0.00335093959128247,2.17463660088299,0.0296573592889618,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region003","region","A","C","fit_23","cov","region003","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,23
"supergnova_cov","region","cov",-0.000354991344494764,0.00257980922602955,-0.137603719264588,0.890553615946525,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region004","region","A","C","fit_24","cov","region004","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,24
"supergnova_cov","region","cov",-0.00160012793035048,0.0031430544867729,-0.509099647201278,0.610682379097519,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region005","region","A","C","fit_25","cov","region005","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,25
"supergnova_cov","region","cov",-0.00152504591537797,0.00301717832015861,-0.505454352892803,0.613239751597029,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region006","region","A","C","fit_26","cov","region006","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,26
"supergnova_cov","region","cov",0.00994006233194958,0.00371809148822718,2.67343134600733,0.00750796422955167,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region007","region","A","C","fit_27","cov","region007","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,27
"supergnova_cov","region","cov",0.00313343147002755,0.00347288155484185,0.902256935788368,0.366920396076374,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region008","region","A","C","fit_28","cov","region008","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,28
"supergnova_cov","region","cov",0.0019177988551722,0.00309709509784615,0.619225046239595,0.535768114172407,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region009","region","A","C","fit_29","cov","region009","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,29
"supergnova_cov","region","cov",0.00333602866241214,0.00501901612683431,0.664677812963376,0.50625658771804,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region010","region","A","C","fit_30","cov","region010","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,30
"supergnova_cov","region","cov",-0.00178163956721049,0.00390388311688176,-0.456376257656399,0.648119435769304,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region011","region","A","C","fit_31","cov","region011","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,31
"supergnova_cov","region","cov",-0.0059878664394342,0.00390877285204052,-1.53190442783298,0.125546020712439,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region012","region","A","C","fit_32","cov","region012","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,32
"supergnova_cov","region","cov",-0.000186665588120699,0.00353717177145641,-0.0527725539446564,0.957913129798056,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region013","region","A","C","fit_33","cov","region013","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,33
"supergnova_cov","region","cov",0.00576951676357014,0.00465820053242397,1.23857200294636,0.215504041658499,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region014","region","A","C","fit_34","cov","region014","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,34
"supergnova_cov","region","cov",0.00331198969183459,0.003462925507256,0.956413785077055,0.33886322293293,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region015","region","A","C","fit_35","cov","region015","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,35
"supergnova_cov","region","cov",0.00243338482896248,0.00338623582778696,0.718610561318404,0.472380904234489,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region016","region","A","C","fit_36","cov","region016","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,36
"supergnova_cov","region","cov",-0.000188192562553384,0.00347176181104939,-0.0542066457308312,0.956770525943855,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region017","region","A","C","fit_37","cov","region017","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,37
"supergnova_cov","region","cov",0.00232941102774192,0.00208424193038062,1.11762986522228,0.263725108069716,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region018","region","A","C","fit_38","cov","region018","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,38
"supergnova_cov","region","cov",-0.00215444326277453,0.00320182443403999,-0.672879886813812,0.501023708983781,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region019","region","A","C","fit_39","cov","region019","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,39
"supergnova_cov","region","cov",0.00366867951579962,0.00359252982885892,1.021196674925,0.307161267390001,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region020","region","A","C","fit_40","cov","region020","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,40
"supergnova_cov","region","cov",0.0705428472583255,0.0132905070408746,5.30776192671753,1.10979463152864e-07,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region001","region","B","C","fit_41","cov","region001","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,41
"supergnova_cov","region","cov",0.052506106117267,0.00784046073940537,6.69681385602463,2.1301267039196e-11,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region002","region","B","C","fit_42","cov","region002","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,42
"supergnova_cov","region","cov",0.000327501206570255,0.00303323601948288,0.107970894604531,0.91401877995164,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region003","region","B","C","fit_43","cov","region003","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,43
"supergnova_cov","region","cov",0.0060781758691122,0.00330540281559195,1.83886086150855,0.0659356537259757,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region004","region","B","C","fit_44","cov","region004","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,44
"supergnova_cov","region","cov",0.00603646457595987,0.00392455597808641,1.53812676126057,0.124017623850984,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region005","region","B","C","fit_45","cov","region005","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,45
"supergnova_cov","region","cov",3.52519604614699e-05,0.00330158222876361,0.0106772928913757,0.991480914720237,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region006","region","B","C","fit_46","cov","region006","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,46
"supergnova_cov","region","cov",0.00643047838502283,0.0039334097629861,1.63483561909427,0.102083511676135,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region007","region","B","C","fit_47","cov","region007","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,47
"supergnova_cov","region","cov",0.00538247632498512,0.00370709354420217,1.45193970985793,0.146518369832355,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region008","region","B","C","fit_48","cov","region008","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,48
"supergnova_cov","region","cov",0.000797028798125829,0.00353837026210813,0.225253079549387,0.821782398766504,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region009","region","B","C","fit_49","cov","region009","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,49
"supergnova_cov","region","cov",0.00124559342274762,0.0034544040635371,0.360581275333553,0.718412489043031,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region010","region","B","C","fit_50","cov","region010","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,50
"supergnova_cov","region","cov",0.000991901903876211,0.00327689841339288,0.302695347473162,0.762122043739637,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region011","region","B","C","fit_51","cov","region011","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,51
"supergnova_cov","region","cov",-0.00040488683992757,0.00453622635599859,-0.0892563131009012,0.928878212533968,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region012","region","B","C","fit_52","cov","region012","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,52
"supergnova_cov","region","cov",0.00146377306217794,0.00267529328929298,0.547144893622031,0.584279191647394,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region013","region","B","C","fit_53","cov","region013","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,53
"supergnova_cov","region","cov",0.0061325616949522,0.0041844687528542,1.4655532296111,0.142770040894287,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region014","region","B","C","fit_54","cov","region014","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,54
"supergnova_cov","region","cov",0.00468386188128076,0.00364916212694936,1.28354447359027,0.199301388898488,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region015","region","B","C","fit_55","cov","region015","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,55
"supergnova_cov","region","cov",0.000856809657019929,0.0036215228292234,0.236588224739609,0.812976256186996,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region016","region","B","C","fit_56","cov","region016","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,56
"supergnova_cov","region","cov",0.00368840284642966,0.00276121902535979,1.33578785766517,0.181618622863963,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region017","region","B","C","fit_57","cov","region017","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,57
"supergnova_cov","region","cov",0.000536862151832419,0.0028500776574865,0.188367552169045,0.850588533980717,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region018","region","B","C","fit_58","cov","region018","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,58
"supergnova_cov","region","cov",0.000701684908099195,0.00268907479498104,0.260939156251377,0.794139428247658,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region019","region","B","C","fit_59","cov","region019","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,59
"supergnova_cov","region","cov",0.00283987652114755,0.00307467509240548,0.923634672216948,0.355676555411051,"","",NA,NA,NA,NA,"supergnova","simulated-training-pool","region020","region","B","C","fit_60","cov","region020","native","spectral_wls","spectral_wls_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,60
"lava_cov","region","cov",0.0579805759858094,NA,NA,NA,"","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test",NA,NA,NA,NA,"lava","simulated-training-pool","region001","region","A","B","fit_1","cov","region001","continuous","not_supplied","not_requested","not_requested",FALSE,FALSE,FALSE,"available",FALSE,4
"lava_cov","region","cov",0.0393795785546215,NA,NA,NA,"","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test",NA,NA,NA,NA,"lava","simulated-training-pool","region001","region","A","C","fit_1","cov","region001","continuous","not_supplied","not_requested","not_requested",FALSE,FALSE,FALSE,"available",FALSE,6
"lava_cov","region","cov",0.0658007228789315,NA,NA,NA,"","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test",NA,NA,NA,NA,"lava","simulated-training-pool","region001","region","B","C","fit_1","cov","region001","continuous","not_supplied","not_requested","not_requested",FALSE,FALSE,FALSE,"available",FALSE,8
"lava_cov","region","cov",0.00106749991974913,NA,NA,NA,"","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test",NA,NA,NA,NA,"lava","simulated-training-pool","region002","region","A","B","fit_2","cov","region002","continuous","not_supplied","not_requested","not_requested",FALSE,FALSE,FALSE,"available",FALSE,13
"lava_cov","region","cov",-0.00371887790189081,NA,NA,NA,"","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test",NA,NA,NA,NA,"lava","simulated-training-pool","region002","region","A","C","fit_2","cov","region002","continuous","not_supplied","not_requested","not_requested",FALSE,FALSE,FALSE,"available",FALSE,15
"lava_cov","region","cov",0.0498039105394576,NA,NA,NA,"","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test",NA,NA,NA,NA,"lava","simulated-training-pool","region002","region","B","C","fit_2","cov","region002","continuous","not_supplied","not_requested","not_requested",FALSE,FALSE,FALSE,"available",FALSE,17
"lava_cov","region","cov",-0.00066864692153646,NA,NA,NA,"","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test",NA,NA,NA,NA,"lava","simulated-training-pool","region003","region","A","B","fit_3","cov","region003","continuous","not_supplied","not_requested","not_requested",FALSE,FALSE,FALSE,"available",FALSE,22
"lava_cov","region","cov",0.0071115957850349,NA,NA,NA,"","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test",NA,NA,NA,NA,"lava","simulated-training-pool","region003","region","A","C","fit_3","cov","region003","continuous","not_supplied","not_requested","not_requested",FALSE,FALSE,FALSE,"available",FALSE,24
"lava_cov","region","cov",0.000397677381451744,NA,NA,NA,"","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test",NA,NA,NA,NA,"lava","simulated-training-pool","region003","region","B","C","fit_3","cov","region003","continuous","not_supplied","not_requested","not_requested",FALSE,FALSE,FALSE,"available",FALSE,26
"lava_cov","region","cov",-3.97973011017954e-06,NA,NA,NA,"","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test",NA,NA,NA,NA,"lava","simulated-training-pool","region004","region","A","B","fit_4","cov","region004","continuous","not_supplied","not_requested","not_requested",FALSE,FALSE,FALSE,"available",FALSE,31
"lava_cov","region","cov",-0.00199640706533182,NA,NA,NA,"","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test",NA,NA,NA,NA,"lava","simulated-training-pool","region004","region","A","C","fit_4","cov","region004","continuous","not_supplied","not_requested","not_requested",FALSE,FALSE,FALSE,"available",FALSE,33
"lava_cov","region","cov",0.00467099647802251,NA,NA,NA,"","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test",NA,NA,NA,NA,"lava","simulated-training-pool","region004","region","B","C","fit_4","cov","region004","continuous","not_supplied","not_requested","not_requested",FALSE,FALSE,FALSE,"available",FALSE,35
"lava_cov","region","cov",-0.00722504740283689,NA,NA,NA,"","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test",NA,NA,NA,NA,"lava","simulated-training-pool","region005","region","A","B","fit_5","cov","region005","continuous","not_supplied","not_requested","not_requested",FALSE,FALSE,FALSE,"available",FALSE,40
"lava_cov","region","cov",-0.00311795152121786,NA,NA,NA,"","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test",NA,NA,NA,NA,"lava","simulated-training-pool","region005","region","A","C","fit_5","cov","region005","continuous","not_supplied","not_requested","not_requested",FALSE,FALSE,FALSE,"available",FALSE,42
"lava_cov","region","cov",0.00488501638983441,NA,NA,NA,"","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test",NA,NA,NA,NA,"lava","simulated-training-pool","region005","region","B","C","fit_5","cov","region005","continuous","not_supplied","not_requested","not_requested",FALSE,FALSE,FALSE,"available",FALSE,44
"lava_cov","region","cov",0.00222111280174414,NA,NA,NA,"","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test",NA,NA,NA,NA,"lava","simulated-training-pool","region006","region","A","B","fit_6","cov","region006","continuous","not_supplied","not_requested","not_requested",FALSE,FALSE,FALSE,"available",FALSE,49
"lava_cov","region","cov",-0.000470005469576761,NA,NA,NA,"","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test",NA,NA,NA,NA,"lava","simulated-training-pool","region006","region","A","C","fit_6","cov","region006","continuous","not_supplied","not_requested","not_requested",FALSE,FALSE,FALSE,"available",FALSE,51
"lava_cov","region","cov",-0.00015222255189281,NA,NA,NA,"","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test",NA,NA,NA,NA,"lava","simulated-training-pool","region006","region","B","C","fit_6","cov","region006","continuous","not_supplied","not_requested","not_requested",FALSE,FALSE,FALSE,"available",FALSE,53
"lava_cov","region","cov",0.00104647209777505,NA,NA,NA,"","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test",NA,NA,NA,NA,"lava","simulated-training-pool","region007","region","A","B","fit_7","cov","region007","continuous","not_supplied","not_requested","not_requested",FALSE,FALSE,FALSE,"available",FALSE,58
"lava_cov","region","cov",0.009957691145983,NA,NA,NA,"","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test",NA,NA,NA,NA,"lava","simulated-training-pool","region007","region","A","C","fit_7","cov","region007","continuous","not_supplied","not_requested","not_requested",FALSE,FALSE,FALSE,"available",FALSE,60
"lava_cov","region","cov",0.00557701781133813,NA,NA,NA,"","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test",NA,NA,NA,NA,"lava","simulated-training-pool","region007","region","B","C","fit_7","cov","region007","continuous","not_supplied","not_requested","not_requested",FALSE,FALSE,FALSE,"available",FALSE,62
"lava_cov","region","cov",0.00589988358516315,NA,NA,NA,"","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test",NA,NA,NA,NA,"lava","simulated-training-pool","region008","region","A","B","fit_8","cov","region008","continuous","not_supplied","not_requested","not_requested",FALSE,FALSE,FALSE,"available",FALSE,67
"lava_cov","region","cov",0.00282403225594327,NA,NA,NA,"","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test",NA,NA,NA,NA,"lava","simulated-training-pool","region008","region","A","C","fit_8","cov","region008","continuous","not_supplied","not_requested","not_requested",FALSE,FALSE,FALSE,"available",FALSE,69
