"scenario","repetitions","mean_truth","mean_estimate","mean_absolute_error","mean_scaled_absolute_error","minimum_auxiliary","passed"
"BayesS exponent",5,-0.5,-0.395031870880208,0.218220808132753,0.436441616265507,NA,TRUE
"Block residual",5,0.682541471682223,0.680726293239984,0.00230650969694443,0.00313522236901886,NA,TRUE
"Effect covariance",5,0.00192406213666375,0.00201868509030671,0.000230853651565921,0.00461707303131843,NA,TRUE
"LD relocation",5,0.984170898742823,0.984064789120392,0.000117018996516371,0.00011889315707404,0.32057119205298,TRUE
"Sampling covariance",5,0.439837893496456,0.43899217306281,0.0159034848253279,0.0956195829941034,NA,TRUE
