"trait","gene","statistic","controlled_available","controlled_p","controlled_error_bound","controlled_terms","controlled_reason","approximate_available","approximate_p","approximate_method","moment_fallback"
"A","gene0558",25.2522395666746,TRUE,0.933108050554068,9.79151303223333e-11,312,"",TRUE,0.932893524444538,"saddlepoint",FALSE
"A","gene0559",99.1753762809999,TRUE,0.0125356299190799,9.83835114071185e-11,363,"",TRUE,0.0124818271448555,"saddlepoint",FALSE
"A","gene0560",53.0057505785528,TRUE,0.135294762755453,9.59597881299186e-11,303,"",TRUE,0.134699544128656,"saddlepoint",FALSE
"A","gene0561",82.8631259989059,TRUE,0.0800890742106556,9.6018047191556e-11,373,"",TRUE,0.0798872749099984,"saddlepoint",FALSE
"A","gene0562",32.3458989048452,TRUE,0.686444685710352,9.59180187533326e-11,307,"",TRUE,0.685677875036769,"saddlepoint",FALSE
"A","gene0563",51.8491655600765,TRUE,0.737009317763397,9.50703350679344e-11,370,"",TRUE,0.736652309061058,"saddlepoint",FALSE
"A","gene0564",44.4706027394418,TRUE,0.255355252612409,9.53978641416754e-11,305,"",TRUE,0.254497578717888,"saddlepoint",FALSE
"A","gene0565",87.4356645301866,TRUE,0.0656128670389371,9.22059861731446e-11,374,"",TRUE,0.0654314702859998,"saddlepoint",FALSE
"A","gene0566",37.828808761811,TRUE,0.417014368397402,9.24938571914002e-11,309,"",TRUE,0.415895244099327,"saddlepoint",FALSE
"A","gene0567",86.5843548354277,TRUE,0.0801868961939612,9.52232972377745e-11,384,"",TRUE,0.0799689738492383,"saddlepoint",FALSE
"A","gene0568",29.1373004724875,TRUE,0.702764956939883,9.8715868107873e-11,305,"",TRUE,0.70192723770985,"saddlepoint",FALSE
"A","gene0569",49.1601299933188,TRUE,0.857376521128874,9.94179119454333e-11,388,"",TRUE,0.857147013402205,"saddlepoint",FALSE
"A","gene0570",35.0698728993978,TRUE,0.441206107136918,9.26253405030518e-11,300,"",TRUE,0.440084949293842,"saddlepoint",FALSE
"A","gene0571",67.3500459779144,TRUE,0.424136000132669,9.45291533851339e-11,387,"",TRUE,0.423679980878728,"saddlepoint",FALSE
"A","gene0572",34.5047883901368,TRUE,0.425185460072755,9.7803340079472e-11,299,"",TRUE,0.424003299246144,"saddlepoint",FALSE
"A","gene0573",98.5746206734628,TRUE,0.0357878031899594,9.68400958923678e-11,405,"",TRUE,0.0356699253146006,"saddlepoint",FALSE
"A","gene0574",17.1245679220423,TRUE,0.963957648252008,9.42520223109686e-11,300,"",TRUE,0.963795188464588,"saddlepoint",FALSE
"A","gene0575",67.0836727640811,TRUE,0.481996843021166,9.99242094775442e-11,402,"",TRUE,0.481547911069005,"saddlepoint",FALSE
"A","gene0576",34.0148233798841,TRUE,0.36973947841163,9.17577457700165e-11,288,"",TRUE,0.368444901677582,"saddlepoint",FALSE
"A","gene0577",66.6309627618364,TRUE,0.519709982672581,9.53673234675191e-11,408,"",TRUE,0.519286150491306,"saddlepoint",FALSE
"A","gene0578",14.2878476700487,TRUE,0.980209462011055,9.6504334959422e-11,302,"",TRUE,0.980110285406881,"saddlepoint",FALSE
"A","gene0579",67.7735607303563,TRUE,0.515663232595139,9.72633486338165e-11,409,"",TRUE,0.515237170867293,"saddlepoint",FALSE
"A","gene0580",32.6533968701701,TRUE,0.344169131942355,9.171600604636e-11,296,"",TRUE,0.342635795814153,"saddlepoint",FALSE
"A","gene0581",82.2539549259415,TRUE,0.224977818079856,9.75165575459874e-11,417,"",TRUE,0.224635335377547,"saddlepoint",FALSE
"A","gene0582",31.5935362218547,TRUE,0.343982488290131,9.79481228654926e-11,293,"",TRUE,0.342558108262163,"saddlepoint",FALSE
"A","gene0583",69.9770174846957,TRUE,0.509642012816985,9.97782612826084e-11,429,"",TRUE,0.50921538120662,"saddlepoint",FALSE
"A","gene0584",28.4868159388416,TRUE,0.41830491497375,9.7609510372413e-11,293,"",TRUE,0.41672960040253,"saddlepoint",FALSE
"A","gene0585",57.6331778533168,TRUE,0.826146364711759,9.44720795733114e-11,430,"",TRUE,0.825904295764406,"saddlepoint",FALSE
"A","gene0586",16.2840377117699,TRUE,0.884632956147425,9.99175111681024e-11,285,"",TRUE,0.884014641664955,"saddlepoint",FALSE
"A","gene0587",80.6199540949229,TRUE,0.313375335123185,9.53403295981398e-11,427,"",TRUE,0.313001030867102,"saddlepoint",FALSE
"A","gene0588",18.1714967396934,TRUE,0.786123567448753,9.52753616560893e-11,288,"",TRUE,0.785056874381492,"saddlepoint",FALSE
"A","gene0589",77.021942795017,TRUE,0.412986766268915,9.33984851264613e-11,433,"",TRUE,0.412594637436826,"saddlepoint",FALSE
"A","gene0590",27.0523031271709,TRUE,0.352914639728566,9.32596954847896e-11,295,"",TRUE,0.351128250911367,"saddlepoint",FALSE
"A","gene0591",76.834925927226,TRUE,0.440620174466825,9.58548576884127e-11,446,"",TRUE,0.440208890114899,"saddlepoint",FALSE
"A","gene0592",18.424324227453,TRUE,0.694813618602131,9.186045918071e-11,277,"",TRUE,0.693227598470578,"saddlepoint",FALSE
"A","gene0593",79.6202010509184,TRUE,0.400688301457021,9.92052895994883e-11,455,"",TRUE,0.400305415392088,"saddlepoint",FALSE
"A","gene0594",14.8152423917807,TRUE,0.821209657206563,9.62864940773703e-11,287,"",TRUE,0.82011883103268,"saddlepoint",FALSE
"A","gene0595",122.882081607998,TRUE,0.0130310840156926,9.96491621857443e-11,458,"",TRUE,0.0129820802671475,"saddlepoint",FALSE
"A","gene0596",21.5129865344468,TRUE,0.450946172949286,9.99446144334809e-11,272,"",TRUE,0.44869249110694,"saddlepoint",FALSE
"A","gene0597",60.3866083499303,TRUE,0.868463720637187,9.41893879514641e-11,474,"",TRUE,0.868286752669085,"saddlepoint",FALSE
"A","gene0598",12.154981025175,TRUE,0.868607795851977,9.90681379704587e-11,272,"",TRUE,0.867713104631668,"saddlepoint",FALSE
"A","gene0599",28.2361556251221,TRUE,0.153601007231209,9.80864622922122e-11,277,"",TRUE,0.151679109934707,"saddlepoint",FALSE
"A","gene0600",86.3023377275501,TRUE,0.326737905218627,9.46915675753036e-11,469,"",TRUE,0.32639676714465,"saddlepoint",FALSE
"A","gene0601",19.7011759357258,TRUE,0.488941515942176,9.19412739843438e-11,283,"",TRUE,0.486566811207337,"saddlepoint",FALSE
"A","gene0602",75.1276770047047,TRUE,0.552414987742137,9.85305764929223e-11,468,"",TRUE,0.552045384152443,"saddlepoint",FALSE
"A","gene0603",19.6189510804582,TRUE,0.541107132103065,9.93082783975335e-11,288,"",TRUE,0.538825112672976,"saddlepoint",FALSE
"A","gene0604",66.7551070016687,TRUE,0.726046775154029,9.95416130165211e-11,469,"",TRUE,0.725730754379313,"saddlepoint",FALSE
"A","gene0605",16.5765909238874,TRUE,0.737967991109672,9.78345915565726e-11,302,"",TRUE,0.736441381420286,"saddlepoint",FALSE
"A","gene0606",82.9737723411961,TRUE,0.330672883631505,9.57734968805649e-11,477,"",TRUE,0.330301082606198,"saddlepoint",FALSE
"A","gene0607",16.0746084810045,TRUE,0.798766543229484,9.63029161082062e-11,308,"",TRUE,0.797548872134043,"saddlepoint",FALSE
"A","gene0608",76.7940421359784,TRUE,0.441352059669209,9.88211237016104e-11,467,"",TRUE,0.440932481472373,"saddlepoint",FALSE
"A","gene0609",24.0606765161387,TRUE,0.471868432908724,9.2594315515785e-11,318,"",TRUE,0.469923869810929,"saddlepoint",FALSE
"A","gene0610",62.8757600621176,TRUE,0.749795921537328,9.32394721869269e-11,471,"",TRUE,0.749479223930211,"saddlepoint",FALSE
"A","gene0611",20.386429724906,TRUE,0.682150989547692,9.53250802403736e-11,317,"",TRUE,0.680613969965408,"saddlepoint",FALSE
"A","gene0612",54.5007303015312,TRUE,0.889807080345091,9.40797284911324e-11,467,"",TRUE,0.889628560385782,"saddlepoint",FALSE
"A","gene0613",10.8883747484987,TRUE,0.986490828153922,9.35042385858363e-11,309,"",TRUE,0.986408588149923,"saddlepoint",FALSE
"A","gene0614",59.0275919194618,TRUE,0.79248622233014,9.69612048529016e-11,465,"",TRUE,0.792201228942616,"saddlepoint",FALSE
"A","gene0615",37.1274261447455,TRUE,0.171032010377149,9.4305255824486e-11,325,"",TRUE,0.169820026864414,"saddlepoint",FALSE
"A","gene0616",57.0191784729747,TRUE,0.814412917854502,9.73711684199019e-11,469,"",TRUE,0.81413801850289,"saddlepoint",FALSE
"A","gene0617",46.3038606822379,TRUE,0.0659878189189836,9.41564841502526e-11,315,"",TRUE,0.0653821375555949,"saddlepoint",FALSE
"A","gene0618",77.3826226428991,TRUE,0.316544192222764,9.61163792328502e-11,462,"",TRUE,0.316099348417867,"saddlepoint",FALSE
"A","gene0619",29.1505021215616,TRUE,0.468931211746475,9.6124484348821e-11,336,"",TRUE,0.467342768779845,"saddlepoint",FALSE
"A","gene0620",92.5014854736421,TRUE,0.0952746062534206,9.66739329105563e-11,471,"",TRUE,0.0950486998435836,"saddlepoint",FALSE
"A","gene0621",46.327862958663,TRUE,0.0909315142614876,9.7795676992727e-11,338,"",TRUE,0.0902669580380254,"saddlepoint",FALSE
"A","gene0622",58.0746597458265,TRUE,0.731903547699179,9.87852721173223e-11,458,"",TRUE,0.731535784834689,"saddlepoint",FALSE
"A","gene0623",30.0369714505785,TRUE,0.511034282340256,9.50214867185238e-11,347,"",TRUE,0.509517313453304,"saddlepoint",FALSE
"A","gene0624",51.2166470619531,TRUE,0.856268067914921,9.80784072663818e-11,479,"",TRUE,0.856025303383015,"saddlepoint",FALSE
"A","gene0625",35.4575889898345,TRUE,0.357280169576046,9.61267366704141e-11,352,"",TRUE,0.355953680070729,"saddlepoint",FALSE
"A","gene0626",79.2735156331857,TRUE,0.208242807387755,9.39898374516419e-11,472,"",TRUE,0.207836051440944,"saddlepoint",FALSE
"A","gene0627",29.9966163736962,TRUE,0.587124320401843,9.83229271112919e-11,373,"",TRUE,0.58579523256538,"saddlepoint",FALSE
"A","gene0628",72.2086200775885,TRUE,0.315047164414114,9.74662369584468e-11,471,"",TRUE,0.314535717012816,"saddlepoint",FALSE
"A","gene0629",27.4194334485786,TRUE,0.719716348565031,9.66916073033217e-11,362,"",TRUE,0.718706198629901,"saddlepoint",FALSE
"A","gene0630",66.6886444493637,TRUE,0.414339401992906,9.3943462763698e-11,466,"",TRUE,0.413792457638207,"saddlepoint",FALSE
"A","gene0631",32.7336444277762,TRUE,0.556515373590246,9.75800730365975e-11,369,"",TRUE,0.555291487320086,"saddlepoint",FALSE
"A","gene0632",93.7488863686944,TRUE,0.0459613006235511,9.37275068755433e-11,462,"",TRUE,0.0458184827321074,"saddlepoint",FALSE
"A","gene0633",41.504646559146,TRUE,0.307076252904051,9.57800255665768e-11,375,"",TRUE,0.306005580616494,"saddlepoint",FALSE
"A","gene0634",57.0715164360107,TRUE,0.610208275460223,9.63087538863837e-11,469,"",TRUE,0.609666892759288,"saddlepoint",FALSE
"A","gene0635",37.3400524263469,TRUE,0.464108267057417,9.42383793613513e-11,380,"",TRUE,0.462808797390737,"saddlepoint",FALSE
