"replicate","seed","status","error","seconds"
1,20261100,"completed","",1901.73370599747
2,20261200,"completed","",1900.09270095825
3,20261300,"completed","",1972.25288701057
4,20261400,"completed","",1971.20848011971
5,20261500,"completed","",1930.48086905479
6,20261600,"completed","",1935.23767900467
7,20261700,"completed","",1825.91238212585
8,20261800,"completed","",1832.57465100288
9,20261900,"completed","",1460.15141010284
10,20262000,"completed","",1459.7055709362
