"analysis","scope","component","region","quantity","trait1","trait2","estimate","truth","lower","upper","interval_kind","uncertainty_reason"
"hess_cov","region","region","region001","cov","A","C",0.0413774100182813,0.0465318265315027,0.0293536719055506,0.0534011481310121,"normal_approximation:conditional_gaussian_plugin_delta",""
"hess_cov","region","region","region002","cov","A","C",-0.00365435026733763,7.06982167706919e-37,-0.0162319547601589,0.00892325422548368,"normal_approximation:conditional_gaussian_plugin_delta",""
"hess_cov","region","region","region003","cov","A","C",0.00712128601408649,0.0011823493036829,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region004","cov","A","C",-0.00200001959861418,0.000358299299174467,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region005","cov","A","C",-0.00312005306671482,0.00170195295417455,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region006","cov","A","C",-0.000467545557696824,0.000384925713498964,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region007","cov","A","C",0.00996228642452463,0.0013329397101453,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region008","cov","A","C",0.00282683174932461,0.00199424865941885,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region009","cov","A","C",0.000274759910517778,0.00110043915667998,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region010","cov","A","C",0.00161885476035043,0.000222181400181282,-0.00624428999936565,0.00948199952006651,"normal_approximation:conditional_gaussian_plugin_delta",""
"hess_cov","region","region","region011","cov","A","C",-0.00272462664379618,0.00171910223437467,-0.0106235113198948,0.00517425803230248,"normal_approximation:conditional_gaussian_plugin_delta",""
