"replicate","seed","parameter","estimated","status","draws","mean","sd","median","lower","upper","hpd_lower","hpd_upper","diagnostic_status","rhat","ess_bulk","mcse_mean","method","truth"
3,20262300,"residual_variance",FALSE,"available",2800,1,0,1,1,1,1,1,"not_updated",NA,NA,NA,"bayesc",NA
3,20262300,"effect_variance",FALSE,"available",2800,3e-04,0,3e-04,3e-04,3e-04,3e-04,3e-04,"not_updated",NA,NA,NA,"bayesc",NA
3,20262300,"active_markers",TRUE,"available",2800,998.685357142857,31.2796500262929,998,939,1062,938,1059,"available",1.00189755128679,2699.60631634922,0.603269916267647,"bayesc",931
3,20262300,"weight_0",FALSE,"available",2800,0.98,0,0.98,0.98,0.98,0.98,0.98,"not_updated",NA,NA,NA,"bayesc",NA
3,20262300,"weight_1",FALSE,"available",2800,0.02,0,0.02,0.02,0.02,0.02,0.02,"not_updated",NA,NA,NA,"bayesc",NA
3,20262300,"genetic_covariance[A,A]",TRUE,"available",2800,0.314657178687846,0.015894346492862,0.314945403538859,0.284175332723592,0.345916266947337,0.283599995678535,0.344792509879766,"available",1.00027533772273,2752.23106366479,0.000302291667440719,"bayesc",NA
3,20262300,"h2[A]",TRUE,"available",2800,0.314657178687846,0.015894346492862,0.314945403538859,0.284175332723592,0.345916266947337,0.283599995678535,0.344792509879766,"available",1.00027533772273,2752.23106366479,0.000302291667440719,"bayesc",0.302591432584273
3,20262300,"residual_variance",FALSE,"available",20000,1,0,1,1,1,1,1,"not_updated",NA,NA,NA,"bayesr",NA
3,20262300,"effect_variance",FALSE,"available",20000,0.000810810810810811,2.19704663379328e-19,0.000810810810810811,0.000810810810810811,0.000810810810810811,0.000810810810810811,0.000810810810810811,"not_updated",NA,NA,NA,"bayesr",NA
3,20262300,"active_markers",TRUE,"available",20000,994.129,30.8172653587597,994,934,1056,931,1052,"available",1.00014050834319,20098.9513994855,0.217332948769833,"bayesr",931
3,20262300,"weight_0",FALSE,"available",20000,0.98,2.58480260007822e-16,0.98,0.98,0.98,0.98,0.98,"not_updated",NA,NA,NA,"bayesr",NA
3,20262300,"weight_1",FALSE,"available",20000,0.00666666666666667,7.63195765608769e-19,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,"not_updated",NA,NA,NA,"bayesr",NA
3,20262300,"weight_2",FALSE,"available",20000,0.00666666666666667,7.63195765608769e-19,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,"not_updated",NA,NA,NA,"bayesr",NA
3,20262300,"weight_3",FALSE,"available",20000,0.00666666666666667,7.63195765608769e-19,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,"not_updated",NA,NA,NA,"bayesr",NA
3,20262300,"genetic_covariance[A,A]",TRUE,"available",20000,0.309988353912599,0.0214031619828024,0.309479298558922,0.269085610501718,0.352939647086244,0.26901984043421,0.352782311846779,"available",0.999879377172868,20969.1569049399,0.000147768853001631,"bayesr",NA
